Column2,Column3,Column6,Column8,Column17,Column85,Column154,Column155,Column156,90Days,30Days
P00018_03,P00018_03_FixLogisticActualCost_CreateDetailCost,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,960,X,,< 1 Month,291,86
P00136_02,P00136_02_StoreProductStockout_PrepareRequestMail,Go-live / リリース済・本番稼働中,EC,FRJP,0,X,,< 1 Day,119,56
P00250_02,P00250_02_DownloadWeeklyPrintableFormByPlanningSum,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,,,X,Daily,134,55
P00208,P00208_Abnormal Attendance Data Analysis & Notification,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,65,,X,Monthly,55,51
P00099_02,P00099_02_AlteredClothesOutsourcing,Go-live / リリース済・本番稼働中,EC,FRJP,1080,X,,< 1 Day,163,46
P00109_01,P00109_01_AnswerLabPost,Go-live / リリース済・本番稼働中,FRMIC,FRJP,530,X,,< 1 Week,103,45
P00162_01,P00162_01_ContractRenewalOfFixedTermEmployees,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,1722,X,,< 1 Month,60,45
P00245_07,P00245_07_Z-System_Reporting&WPS_Lastyear,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,125,71
P00002_01,P00002_01_QueryTool_Download,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,2140,,X,< 1 Day,79,44
P00002_02,P00002_02_JmupsQuery_ConfirmCreditCardSales,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,,X,< 1 Day,80,42
P00247,P00247_PL_Store_Automation,Go-live / リリース済・本番稼働中,BPR / 事業構造改革,FRCN,4972,,,,483,41
P00245_09,P00245_09_Z-System_Reporting&BSM,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,110,50
P00112_01,P00112_01_MakeBaseData,Go-live / リリース済・本番稼働中,Business Management Support / 事業経営支援,FRJP,4725,,X,< 1 Week,125,74
P00285,P00285_RPA_CO_SKU_History,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,112.9,,,,84,37
P00017_01,P00017_01_LogisticsKPI_DownloadQuery,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,202,,X,< 1 Week,112,34
P00195,P00195_SalesPlanConfirmMeetingReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,1347,,X,Daily,90,32
P00196,P00196_WeeklySalesTopReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,0,,X,Daily,90,32
P00197,P00197_MonthlySalesTopReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,0,,X,Daily,92,32
P00237,P00237_ADC_DC_Inventory_Report_Download,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,201,,,,77,34
P00242_01,P00242_01_Daily_Sales_Reconciliation,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRCN,372,,X,Daily,100,32
P00271,P00271_GU_PODeadLineReport,Go-live / リリース済・本番稼働中,Manufacturing Planning / 商品計画,GUJP,0,,X,Weekly,127,32
P00286,P00286_RPA_Item_History,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,225.79,,,,77,32
P00012_01,P00012_1_DV_SapCashVerification,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,0,X,,< 1 Month,106,31
P00099_01,P00099_01_AlteredClothesShippingPlanning,Go-live / リリース済・本番稼働中,EC,FRJP,1134,,X,Daily,91,31
P00254_01,P00254_01_RPA_Assort_Master,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,271.8,,,,74,32
P00254_02,P00254_02_RPA_ArrivalTo_Warehouse_Plan,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,135.9,,,,75,32
P00255,P00255_RPA_TSF,Go-live / リリース済・本番稼働中,BigData / 大数据,FRCN,203.8,,,,79,31
P00017_03,P00017_03_LogisticsKPI_DC,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,202,,X,< 1 Week,89,30
P00277_02,P00277_02_GU_AutoUpgrade,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,,,,90,30
P00093_02,P00093_02_FixLogisticsActualCost2_DownloadReport,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,786,,X,< 1 Day,86,29
P00148_06,P00148_06_CreateItemHandbook,Go-live / リリース済・本番稼働中,EC,FRJP,360,,X,Daily,38,30
P00093_01,P00093_01_FixLogisticsActualCost2_DownloadQuery,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,788,,X,< 1 Day,94,28
P00277_01,P00277_01_GU_AutoUpgrade,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,,X,Daily,88,28
P00168_01,P00168_01_SendInfomationOfPLAndKPITemplete,Go-live / リリース済・本番稼働中,Sales / 営業,FRJP,1404,X,,< 1 Week,62,27
P00232_01,P00232_01_ColorSize_Report_Automation_1,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,750,,X,Weekly,63,27
P00245_05,P00245_05_Z-System_QueryTool,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,66,39
P00056_04,P00056_04_EmployeeEvalDataCreation_GU,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,,X,< 6 Month,196,26
P00229_01,P00229_01_OOS Report,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,,,,26,26
P00100_02,P00100_02_RemindMail,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,,X,< 6 Month,347,25
P00100_03,P00100_03_IntegrationBCA,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,0,X,,< 6 Month,378,25
P00245_08,P00245_08_Z-System_HR_Sharefolder,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,51,30
P00027_01,P00027_01_SendIndustrialPhysiciansReportFormat,Go-live / リリース済・本番稼働中,General Affairs / 総務,FRJP,824,X,,< 1 Week,82,24
P00056_03,P00056_03_EmployeeEvalDataCreation_ALBVCP,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRJP,120,,X,< 6 Month,251,24
P00130_01,P00130_01_CreateLessAmountStockRunOut,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,1040,,X,Weekly,60,24
P00175_01,P00175_01_ICAR_Categorization,Go-live / リリース済・本番稼働中,Corporate Management & Planning / 計画管理,FRJP,7840,X,,< 1 Month,48,24
P00021_01,P00021_01_EC-MD_ActualResultReportBySKU_ReceivedOrders,Go-live / リリース済・本番稼働中,EC,FRJP,1368,X,,< 1 Week,132,23
P00007_02,P00007_2_SampleMaterialConnection,Go-live / リリース済・本番稼働中,Manufacturing / 生産,FRJP,600,X,,,561,21
P00048_01,P00048_01_MonitorringData_Making,Go-live / リリース済・本番稼働中,EC,FRJP,148,,X,< 1 Day,53,21
P00072,P00072_CustomersSoldNumberAnalysis,Go-live / リリース済・本番稼働中,Manufacturing Planning / 商品計画,FRJP,800,,X,Daily,62,21
P00230_03,P00230_03_MV_Analysis_DailyReport_VBA,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRCN,0,,X,Daily,59,23
P00093_05,P00093_05_FixLogisticsActualCost2_Estimate,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,786,X,,< 1 Month,99,20
P00276_10,P00276_10_GU_Data_Extraction_ARKOfficialPlan,Go-live / リリース済・本番稼働中,,GUJP,0,,X,< 1 Week,52,20
P00152_04,P00152_04_LogisticsTrackingKPI_CalculateKPIFromQuery,Go-live / リリース済・本番稼働中,GSCM / 物流,FRJP,0,,X,< 1 Day,44,19
P00238_01,P00238_01_Annual_Leave_Expiration_Notification,Go-live / リリース済・本番稼働中,Human Resources / 人事,FRCN,1000,,X,Monthly,35,20
P00138,P00138_SalsePlanReport,Go-live / リリース済・本番稼働中,Global Manufacturing Planning / 海外商計,FRJP,1872,,X,Daily,49,17
P00118_01,P00118_01_GDriveCreateFolder,Go-live / リリース済・本番稼働中,Legal / 法務,FRJP,647,,X,< 1 Hour,108,16
P00192,P00192_WeekendBusinessReport,Go-live / リリース済・本番稼働中,IT,FRJP,192,X,,,75,16
P00245_02,P00245_02_Z-System_O2O_Email,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,49,16
P00245_03,P00245_03_Z-System_RFID_Email,Go-live / リリース済・本番稼働中,Sales / 営業,FRCN,0,,,,61,22
P00020,P00020_EC-MD_ActualOrderReport,Go-live / リリース済・本番稼働中,EC,FRJP,1368,,X,Weekly,71,28
P00014_03,P00014_03_CheckFlyerMainProcess,Go-live / リリース済・本番稼働中,Inventory Control / 在庫Ctrl,FRJP,0,X,,< 1 Week,46,14
