filters,"processName.keyword: Descending",Count
"TRA開始回数","P00232_ColorSize_Report_Automation_1_ProdEnv_P00232_UR_W10ENO16EN",21
"TRA開始回数","P00258_02_RPA_MD_Pln_Sum_Weekly_Plan_ProdEnv_P00258_UR_W10ENO16EN",21
"TRA開始回数","P00226_03_Income_Inventory_Analysis_WeeklyReport_VBA_ProdEnv_P00226_UR",20
"TRA開始回数","P00276_09_GU_Data_Extraction_MDReport_ProdEnv_P00276_09_UR_W10JPO16JP",20
"TRA開始回数","P00052_AxAllocationUpload_W10JPO16JP_ProdEnv_P00052_AR_W10JPO16JP",19
"TRA開始回数","P00259_01_RPA_Inv_Weekly_Plan_ByAll_ProdEnv_P00259_UR_W10ENO16EN",19
"TRA開始回数","P00232_ColorSize_Report_Automation_C_ProdEnv_P00232_UR_W10ENO16EN",18
"TRA開始回数","P00025_02_MedicalCheckupReport_W10JPO16JP_ProdEnv_P00025_UR_W10JPO16JP",17
"TRA開始回数","P00232_ColorSize_Report_Automation_I_ProdEnv_P00232_UR_W10ENO16EN",17
"TRA開始回数","P00258_01_RPA_MD_Sls_Sum_Weekly_Plan_ProdEnv_P00258_UR_W10ENO16EN",17
"TRA開始回数","P00017_04_LogisticsKPI_CaluculateKPI_W10JPO16JP_ProdEnv_P00017_AR_W10JPO16JP",16
"TRA開始回数","P00259_02_RPA_Inv_Weekly_Plan_ByGDept_ProdEnv_P00259_UR_W10ENO16EN",16
"TRA開始回数","P00017_01_LogisticsKPI_DownloadQuery_W10JPO16JP_ProdEnv_P00017_AR_W10JPO16JP",15
"TRA開始回数","P00062_01_WeeklyAmountReport_W10JPO16JP_ProdEnv_P00062_AR_W10JPO16JP",15
"TRA開始回数","P00165_01_CreateEndStockList_W10JPO16JP",15
"TRA開始回数","P00320_Overall_Store_Data",15
"TRA開始回数","P00080_GlobalSalesTop_W10JPO16JP_ProdEnv_P00080_AR_W10JPO16JP",14
"TRA開始回数","P00253_03_EC_Omni-channel_Sales_Report",14
"TRA開始回数","P00276_04_GU_Data_Extraction_MonthlyResult_ProdEnv_P00276_04_UR_W10JPO16JP",14
"TRA開始回数","P00276_06_GU_Data_Extraction_ProductionPlan_ProdEnv_P00276_06_UR_W10JPO16JP",14
"TRA開始回数","P00276_07_GU_Data_Extraction_SeasonalBudget_ProdEnv_P00276_07_UR_W10JPO16JP",14
"TRA開始回数","P00017_05_LogisticsKPI_DownloadWMS_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",13
"TRA開始回数","P00153_01_DeliveryKPI_DownloadQuery_W10JPO16JP_ProdEnv_P00153_UR_W10JPO16JP",13
"TRA開始回数","P00276_02_GU_Data_Extraction_WeeklySlsTop_ProdEnv_P00276_02_UR_W10JPO16JP",13
"TRA開始回数","P00276_05_GU_Data_Extraction_DeptActualBySsn_ProdEnv_P00276_05_UR_W10JPO16JP",13
"TRA開始回数","P00276_08_GU_Data_Extraction_FiscalYrByDept_ProdEnv_P00276_08_UR_W10JPO16JP",13
"TRA開始回数","P00154_SellingPriceChangeDirectionsNotice_ProdEnv_P00154_AR_W10JPO16JP",12
"TRA開始回数","P00245_01_Z_System_Automation",12
"TRA開始回数","P00245_11_Z_System_Automation",12
"TRA開始回数","P00246_AMEX_Reconciliation_ProdEnv_P00246_UR_W10ENO16EN",12
"TRA開始回数","P00246_AMEX_Reconciliation",11
"TRA開始回数","P00027_03_CreateInvoice_W10JPO16JP_ProdEnv_P00027_AR_W10JPO16JP",10
"TRA開始回数","P00153_01_DeliveryKPI_DownloadQuery_W10JPO16JP_ProdEnv_P00153_AR_W10JPO16JP",10
"TRA開始回数","P00198_FutureSumUpSingle_W10JPO16JP_ProdEnv_P00198_AR_W10JPO16JP",10
