"@timestamp per week","processName.keyword: Descending",filters,Count
"2020-09-28","P00093_01_FixLogisticsActualCost2_DownloadQuery_W10JPO16JP_ProdEnv_P00093_UR_W10JPO16JP",STARTED,7
"2020-09-28","P00093_01_FixLogisticsActualCost2_DownloadQuery_W10JPO16JP_ProdEnv_P00093_UR_W10JPO16JP",COMPLETED,7
"2020-09-28","P00002_04_QRC_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",STARTED,9
"2020-09-28","P00002_04_QRC_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",COMPLETED,8
"2020-09-28","P00042_Ariba_Payment_Application_Draft_Checksheet_Win10_ProdEnv_P00042_UR",STARTED,0
"2020-09-28","P00042_Ariba_Payment_Application_Draft_Checksheet_Win10_ProdEnv_P00042_UR",COMPLETED,0
"2020-09-28","P00002_01_QueryTool_Download_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",STARTED,15
"2020-09-28","P00002_01_QueryTool_Download_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",COMPLETED,9
"2020-09-28","P00020_EC-MD_ActualOrderReport_W10JPO16JP_ProdEnv_P00020_AR_W10JPO16JP",STARTED,8
"2020-09-28","P00020_EC-MD_ActualOrderReport_W10JPO16JP_ProdEnv_P00020_AR_W10JPO16JP",COMPLETED,4
"2020-09-28","P00149_CheckFlyerInformation_W10JPO16JP_ProdEnv_P00149_AR_W10JPO16JP",STARTED,1
"2020-09-28","P00149_CheckFlyerInformation_W10JPO16JP_ProdEnv_P00149_AR_W10JPO16JP",COMPLETED,1
"2020-09-28","P00242_01_Daily_Sales_Reconciliation_ProdEnv_P00242_UR_W10ENO16EN",STARTED,10
"2020-09-28","P00242_01_Daily_Sales_Reconciliation_ProdEnv_P00242_UR_W10ENO16EN",COMPLETED,4
"2020-09-28","P00099_01_AlteredClothesShippingPlanning_W10JPO16JP_ProdEnv_P00099_UR_W10JPO16JP",STARTED,7
"2020-09-28","P00099_01_AlteredClothesShippingPlanning_W10JPO16JP_ProdEnv_P00099_UR_W10JPO16JP",COMPLETED,5
"2020-09-28","P00168_01_SelectQueryTool_W10JPO16JP_ProdEnv_P00168_UR_W10JPO16JP",STARTED,23
"2020-09-28","P00168_01_SelectQueryTool_W10JPO16JP_ProdEnv_P00168_UR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00017_01_LogisticsKPI_DownloadQuery_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",STARTED,7
"2020-09-28","P00017_01_LogisticsKPI_DownloadQuery_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",COMPLETED,7
"2020-09-28","P00166_FCStore_W10JPO16JP_ProdEnv_P00166_AR_W10JPO16JP",STARTED,20
"2020-09-28","P00166_FCStore_W10JPO16JP_ProdEnv_P00166_AR_W10JPO16JP",COMPLETED,14
"2020-09-28","P00230_01_MV_Analysis_DailyReport_A_ProdEnv_P00230_UR",STARTED,232
"2020-09-28","P00230_01_MV_Analysis_DailyReport_A_ProdEnv_P00230_UR",COMPLETED,230
"2020-09-28","P00112_03_MakeAuditRecord_W10JPO16JP_ProdEnv_P00112_UAT",STARTED,45
"2020-09-28","P00112_03_MakeAuditRecord_W10JPO16JP_ProdEnv_P00112_UAT",COMPLETED,45
"2020-09-28","P00230_02_MV_Analysis_DailyReport_B_ProdEnv_P00230_UR",STARTED,225
"2020-09-28","P00230_02_MV_Analysis_DailyReport_B_ProdEnv_P00230_UR",COMPLETED,225
"2020-09-28","P00017_02_LogisticsKPI_IMS_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",STARTED,10
"2020-09-28","P00017_02_LogisticsKPI_IMS_W10JPO16JP_ProdEnv_P00017_UR_W10JPO16JP",COMPLETED,0
"2020-09-28","P00130_01_CreateLessAmountStockRunOut_W10JPO16JP_ProdEnv_P00130_UR_W10JPO16JP",STARTED,8
"2020-09-28","P00130_01_CreateLessAmountStockRunOut_W10JPO16JP_ProdEnv_P00130_UR_W10JPO16JP",COMPLETED,8
"2020-09-28","P00002_07_OutputIntegration_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",STARTED,9
"2020-09-28","P00002_07_OutputIntegration_ConfirmCreditCardSales_W10JPO16JP_ProdEnv_P00002_UR_W10JPO16JP",COMPLETED,6
"2020-09-28","P00118_01_CreateFolderPending_W10JPO16JP_ProdEnv_P00118_UR_W10JPO16JP",STARTED,2
"2020-09-28","P00118_01_CreateFolderPending_W10JPO16JP_ProdEnv_P00118_UR_W10JPO16JP",COMPLETED,2
"2020-09-28","P00021_01_EC-MD_ActualResultReportBySKU_ReceivedOrders_W10JPO16EN_ProdEnv_P00021_AR_W10JPO16EN",STARTED,6
"2020-09-28","P00021_01_EC-MD_ActualResultReportBySKU_ReceivedOrders_W10JPO16EN_ProdEnv_P00021_AR_W10JPO16EN",COMPLETED,4
"2020-09-28","P00109_01_AnswerLabPost_W10JPO16JP_ProdEnv_P00109_AR_W10JPO16JP",STARTED,6
"2020-09-28","P00109_01_AnswerLabPost_W10JPO16JP_ProdEnv_P00109_AR_W10JPO16JP",COMPLETED,6
"2020-09-28","P00281_01_GU_WH_Management_ProdEnv_P00281_UR_W10ENO16EN",STARTED,40
"2020-09-28","P00281_01_GU_WH_Management_ProdEnv_P00281_UR_W10ENO16EN",COMPLETED,40
"2020-09-28","P00278_TableauOfficialPlanDL_W10JPO16JP_ProdEnv_P00278_UR_W10JPO16JP",STARTED,31
"2020-09-28","P00278_TableauOfficialPlanDL_W10JPO16JP_ProdEnv_P00278_UR_W10JPO16JP",COMPLETED,30
"2020-09-28","P00093_02_FixLogisticsActualCost2_DownloadReport_W10JPO16JP_ProdEnv_P00093_UR_W10JPO16JP",STARTED,8
"2020-09-28","P00093_02_FixLogisticsActualCost2_DownloadReport_W10JPO16JP_ProdEnv_P00093_UR_W10JPO16JP",COMPLETED,5
"2020-09-28","P00027_01_SendIndustrialPhysiciansReportFormat_W10JPO16JP_ProdEnv_P00027_AR_W10JPO16JP",STARTED,6
"2020-09-28","P00027_01_SendIndustrialPhysiciansReportFormat_W10JPO16JP_ProdEnv_P00027_AR_W10JPO16JP",COMPLETED,4
